,3-year Recidivism Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Probation Rearrest Rates by Start Cohort Year,,,,,,,,,,Probation Reconviction Rates  by Start Cohort Year,,,,,,,,,,Probation Incarceration Rates  by Start Cohort Year,,,,,,,,,,
State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
Texas,,,,,,,,35.1%,35.8%,35.9%,,,,,,,,22.8%,23.4%,23.6%,,,,,,,,24.1%,25.3%,25.8%,http://www.lbb.state.tx.us/Documents/Publications/Policy_Report/3138_Stwide_Crim_Just_Recid_Revoc.pdf
Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.doc.wa.gov/docs/publications/reports/200-SR004.pdf
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://doc.wi.gov/Documents/DataResearch/InteractiveDashboards/082916RecidivismAfterReleaseFromPrisonUpdated.pdf
Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-year recidivism rates (3-yr unavailable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,52.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
